slice,url,clicks_16m,impressions_16m,position,coverage_state,last_crawl,google_canonical,referring_urls,live_status_today,lands_on,new_home,note
1-unknown-to-google,https://achology.com/quote_author/barrie-davenport/,2,223,4.61,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/achology-kb/what-are-cips-competency-improvement-and-practice-sessions/,2,223,6.45,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/achology-quotes/gerald-jampolsky/,2,188,7.32,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/achology-quotes/herbert-read/,2,149,7.35,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/video-series/marriage-long-term-relationships-previews-x-6/,2,148,4.97,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/achology-quotes/richard-reed/,2,60,12.95,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/about-us/about-us-founders-letter/,2,27,6,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/psychology/jean-piagets-contributions-to-developmental-psychology/#h-piaget-s-contribution-to-moral-development,1,30638,7.16,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/mental-wellness/the-neglected-genius-of-alfred-adler-and-adlerian-psychology/#h-how-mental-health-might-differ-if-adler-had-dominated,1,30371,7.89,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/jean-piagets-contributions-to-developmental-psychology/#h-jean-piaget-early-life-and-education,1,28382,7.29,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/mental-wellness/the-neglected-genius-of-alfred-adler-and-adlerian-psychology/#h-1-nbsp-individual-psychology,1,26529,7.84,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/helping-people/gerard-egans-skilled-helper-model-using-the-3-stage-framework/#h-stage-2-helping-the-client-set-goals,1,16615,3.91,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/the-impact-of-the-hawthorne-studies-on-workplace-dynamics/#h-key-findings,1,15528,7.07,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/the-impact-of-the-hawthorne-studies-on-workplace-dynamics/#h-psychological-mechanisms-and-implications,1,14921,7.08,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/exploration-of-dr-howard-gardners-nine-types-of-intelligence/#h-intelligence-1-linguistic-intelligence,1,14732,9.15,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/10-ethically-dubious-experiments/#elementor-toc__heading-anchor-7,1,14465,5.87,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/carl-rogers-person-centered-counseling/#h-major-theories-and-concepts,1,13748,9.37,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/social-conformity-insights-from-the-asch-conformity-experiment/#h-key-findings,1,12048,9.17,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/navigating-life-with-a-sound-mind/#elementor-toc__heading-anchor-2,1,11860,9.55,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/exploration-of-the-split-brain-experiment-by-roger-sperry/#h-methodology-and-design,1,11851,6.64,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/the-impact-of-freuds-defense-mechanisms-on-behavior/#h-sigmund-freud-s-defense-mechanisms,1,11800,9.38,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/sigmund-freuds-defence-mechanisms/#elementor-toc__heading-anchor-1,1,11713,7.94,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/depth-perception-insights-from-the-visual-cliff-experiment/#h-methodology-and-design,1,9722,8.36,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/the-origins-of-positive-psychology/#h-key-concepts,1,9364,7.22,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/the-origins-of-positive-psychology/#h-introduction,1,9340,7.22,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/benefits-of-practical-learning-why-experience-outweighs-academic-knowledge/#elementor-toc__heading-anchor-1,1,9112,6.85,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/conditioning-fear-insights-from-the-little-albert-experiment/#h-key-findings,1,8896,9.83,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/martin-seligman-and-his-contributions-to-positive-psychology/#h-the-founder-of-positive-psychology,1,8212,7.94,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/the-4-stages-of-human-evolution/#elementor-toc__heading-anchor-0,1,7155,8.3,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/motivation/psychology-theories-for-motivation/#h-theory-2-self-determination-theory-sdt,1,7135,9.76,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/the-4-stages-of-human-evolution/#elementor-toc__heading-anchor-2,1,7125,8.3,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/benefits-of-practical-learning-why-experience-outweighs-academic-knowledge/#elementor-toc__heading-anchor-2,1,6766,7.26,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/voices-of-vulnerability-insights-from-the-monster-study-experiment/#h-key-findings,1,6279,7.26,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/exploration-of-the-split-brain-experiment-by-roger-sperry/#h-ethical-considerations,1,6107,6.94,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/voices-of-vulnerability-insights-from-the-monster-study-experiment/#h-psychological-mechanisms-and-implications,1,5867,7.32,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/the-road-to-character-10-lessons-from-david-brooks-classic/#h-lesson-1-focus-on-eulogy-virtues,1,5488,7.96,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/learn-about-the-psychologist-dr-albert-ellis/#elementor-toc__heading-anchor-3,1,4960,7.52,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/the-4-stages-of-human-evolution/#h-stage-1-the-learning-years,1,4840,8.67,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/voices-of-vulnerability-insights-from-the-monster-study-experiment/#h-methodology-and-design,1,4749,7.53,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/what-is-counselling/#h-the-origins-of-counselling,1,4361,7.85,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/books-about-person-centred-psychology/#elementor-toc__heading-anchor-1,1,4201,6.64,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/books-about-person-centred-psychology/#elementor-toc__heading-anchor-2,1,4136,6.63,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/20-common-cognitive-biases-that-influence-your-decisions/#h-20-common-cognitive-biases,1,4124,7.39,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/ethically-questionable-insights-from-the-robbers-cave-experiment/#h-methodology-and-design,1,4089,6.3,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/ethically-questionable-insights-from-the-robbers-cave-experiment/#h-key-findings,1,4073,6.22,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/learn-about-the-psychologist-dr-albert-ellis/#elementor-toc__heading-anchor-1,1,3972,7.29,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/skills-for-highly-effective-counseling/#h-definition-of-counselling-and-the-role-of-counsellors,1,3425,6.82,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/how-psychological-thinking-has-transformed-over-the-years/#h-the-origins-of-psychological-thinking,1,3391,6.24,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/general-interest/voices-of-vulnerability-insights-from-the-monster-study-experiment/#h-ethical-considerations,1,3244,6.75,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/personal-growth/essential-character-traits-for-personal-growth-and-development/#h-resilience,1,2926,8.91,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/motivation/the-importance-of-self-awareness-and-make-better-choices/#h-steps-to-help-you-discover-and-understand-your-core-values,1,2603,6.24,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/publications/fdsfds/,1,2582,11.44,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/friedrich-nietzsche-valuable-lessons-from-his-life-and-works/#h-the-critique-of-conventional-morality,1,1950,10.05,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/mental-wellness/how-irresponsibility-leads-to-personal-disempowerment/#h-understanding-irresponsibility,1,1455,8.08,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/mental-wellness/how-irresponsibility-leads-to-personal-disempowerment/#h-5-perpetuation-of-negative-patterns,1,1247,8.59,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/psychology/exploration-of-the-cognitive-maps-experiment-by-edward-tolman/#h-ethical-considerations,1,1174,9.43,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/a-guide-to-building-inner-resilience/#elementor-toc__heading-anchor-0,1,1100,6.38,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/dynamics-of-leading-effective-diplomatic-discussions/#h-upgrading-your-people-skills,1,1026,9.2,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/dynamics-of-leading-effective-diplomatic-discussions/#elementor-toc__heading-anchor-1,1,785,9.26,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/wisdom-for-life/exploring-the-stephen-karpman-drama-triangle/#h-lesson-3-recognize-role-switching,1,744,5.89,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/videos/guide-to-leveraging-learning-styles-for-personal-growth/,1,600,13.81,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/achology-quotes/malcolm-s-forbes/,1,563,11.36,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/psychology/achology-exploring-the-legacy-of-william-james-the-father-of-modern-psychology/#h-introducing-william-james,1,561,6.55,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/achology-kb/what-does-achology-mean-becoming-wiser/,1,378,3.1,URL is unknown to Google,,,,200,,,
1-unknown-to-google,https://achology.com/product/ultimate-guide-to-neuro-linguistic-programming-nlp/,1,352,22.89,URL is unknown to Google,,,,,,,
1-unknown-to-google,https://achology.com/achology-quotes/abigail-van-buren/,1,255,7.65,URL is unknown to Google,,,,200,,,
2-kb-404,https://achology.com/achology-kb/whats-the-difference-between-a-certificate-of-completion-and-achievement/,234,63652,6.31,Not found (404),2026-08-26T20:41:03Z,,https://achology.com/ht_kb-sitemap.xml; https://achology.com/knowledge-base/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/how-is-cognitive-psychology-applied-to-lifes-everyday-situations/,111,9495,8.99,Not found (404),2026-05-08T12:11:41Z,,https://achology.com/knowledge-base/; https://achology.com/achology-kb/what-are-the-main-contributions-of-daniel-goleman-to-modern-applied-psychology/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/why-is-self-discipline-emphasised-so-much-in-applied-psychology/,36,6862,6.96,Not found (404),2026-03-11T19:01:22Z,,https://achology.com/achology-kb/what-are-the-main-contributions-of-daniel-goleman-to-modern-applied-psychology/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/can-you-provide-a-definition-of-modern-applied-psychology/,31,8523,7.73,Not found (404),2026-03-07T12:53:29Z,,https://achology.com/knowledge-base/; https://achology.com/achology-kb/does-achology-certification-allow-me-to-practice-my-skills-on-people/; https://achology.com/ht_kb-sitemap.xml,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-are-the-main-differences-between-mindvalley-and-achology/,16,9986,4.99,Not found (404),2026-03-19T14:27:47Z,,https://achology.com/ht_kb-sitemap.xml,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/does-psychology-fit-solely-within-the-realm-of-empirical-science/,12,3257,7.61,Not found (404),2026-03-13T12:26:09Z,,https://achology.com/article-categories/applied-psychology-as-a-field-of-enquiry/page/4/; https://achology.com/author/amelia-sinclair/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-makes-self-knowledge-a-key-focus-in-applied-psychology/,10,9059,10.17,Not found (404),2026-03-16T06:12:56Z,,https://achology.com/achology-kb/what-are-the-main-contributions-of-daniel-goleman-to-modern-applied-psychology/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/how-does-applied-psychology-vary-from-other-psychology-fields/,10,2490,16.51,Not found (404),2026-04-08T16:35:39Z,,https://achology.com/article-categories/applied-psychology-as-a-field-of-enquiry/page/5/; https://achology.com/author/amelia-sinclair/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-makes-neuro-linguistic-programming-an-applied-psychology/,6,3027,21.4,Not found (404),2026-03-16T07:26:16Z,,https://achology.com/knowledge-base/; https://achology.com/achology-kb/who-was-karl-lashley-an-overview-of-his-life-and-works/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/valts-what-is-the-purpose-of-the-coaching-hot-seat-events/,6,2525,6.3,Not found (404),2026-03-28T07:46:55Z,,https://achology.com/achology-kb/how-do-i-participate-in-proficiency-development-workshops/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/how-did-hypnotherapy-evolve-within-the-field-of-applied-psychology/,6,2004,10.48,Not found (404),2026-03-13T03:19:47Z,,https://achology.com/knowledge-base/; https://achology.com/achology-kb/who-was-karl-lashley-an-overview-of-his-life-and-works/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-makes-self-awareness-a-key-focus-in-applied-psychology/,4,2727,7.75,Not found (404),2026-03-21T23:03:11Z,,https://achology.com/achology-kb/what-are-the-main-contributions-of-daniel-goleman-to-modern-applied-psychology/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-exactly-is-an-achology-certificate-of-achievement/,4,2590,10.79,Not found (404),2026-03-15T20:39:07Z,,https://achology.com/knowledge-base/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/how-does-life-coaching-integrate-into-modern-applied-psychology/,4,780,13.16,Not found (404),2026-04-04T06:23:42Z,,https://achology.com/knowledge-base/; https://achology.com/achology-kb/who-was-karl-lashley-an-overview-of-his-life-and-works/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-are-the-main-differences-between-udemy-and-achology-com/,4,599,22.7,Not found (404),2026-03-18T21:50:27Z,,,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/whats-the-difference-between-achology-certification-and-somap-accreditation/,3,877,14.52,Not found (404),2026-03-22T20:00:19Z,,https://achology.com/achology-kb/is-achology-life-coach-certification-training-recognised-by-the-icf/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-happens-if-i-wish-to-cancel-my-achology-membership/,2,619,4.63,Not found (404),2026-08-14T13:26:14Z,,https://achology.com/ht_kb-sitemap.xml; https://achology.com/knowledge-base/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/why-is-professional-development-important-for-mindfulness-practitioners/,2,33,15.88,Not found (404),2026-03-11T21:56:28Z,,https://achology.com/achology-kb/what-are-the-main-contributions-of-leon-festinger-to-modern-applied-psychology/; https://achology.com/knowledge-base/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/mission-of-the-academy-of-modern-applied-psychology/,1,1075,8.69,Not found (404),2026-07-29T17:42:17Z,,https://achology.com/article-categories/academy-of-modern-applied-psychology/page/5/; https://achology.com/achology-kb/what-happens-if-i-cancel-my-achology-membership/; https://achology.com/achology-kb/does-achology-certification-allow-me-to-practice-my-skills-on-people/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/what-happens-if-i-need-to-pause-my-course-can-i-resume-it-later-2/,1,989,9.38,Not found (404),2026-03-13T15:07:31Z,,https://achology.com/achology-kb/how-can-i-study-achology-training-products-if-im-visually-impaired/; https://achology.com/achology-kb/do-i-need-any-prior-knowledge-or-qualifications-to-join-achology/,,,,no row in help-slug-map.csv for this address
2-kb-404,https://achology.com/achology-kb/when-was-the-academy-of-modern-applied-psychology-founded/,1,264,21.8,Not found (404),2026-03-16T14:06:12Z,,https://achology.com/knowledge-base/; https://achology.com/ht_kb-sitemap.xml,,,,no row in help-slug-map.csv for this address
4-missing-from-live-list,https://achology.com/wisdom-for-life/jean-piaget-quotes-on-human-development/,7811,289588,6.34,Submitted and indexed,2026-08-25T05:06:55Z,https://achology.com/wisdom-for-life/jean-piaget-quotes-on-human-development/,https://achology.com/psychology/jean-piaget-quotes-on-human-development/,,,,
4-missing-from-live-list,https://achology.com/personal-growth/27-albert-bandura-quotes/,1357,61209,6.39,Submitted and indexed,2026-08-21T17:06:20Z,https://achology.com/personal-growth/27-albert-bandura-quotes/,https://achology.com/psychology/27-albert-bandura-quotes/,,,,
4-missing-from-live-list,https://achology.com/psychology/learned-helplessness-experiment-the-psychology-of-helplessness/,763,117322,8.93,Submitted and indexed,2026-08-23T14:29:20Z,https://achology.com/psychology/learned-helplessness-experiment-the-psychology-of-helplessness/,https://achology.com/mental-wellness/learned-helplessness-experiment-the-psychology-of-helplessness/,,,,
4-missing-from-live-list,https://achology.com/psychology/finding-lifes-purpose-with-viktor-frankls-mans-search-for-meaning/,624,202666,7.46,Submitted and indexed,2026-09-01T18:22:36Z,https://achology.com/psychology/finding-lifes-purpose-with-viktor-frankls-mans-search-for-meaning/,https://www.iyaricevallos.com.au/blog/building-positive-motivation-the-power-of-meaning-in-life-and-work; https://achology.com/mental-wellness/finding-lifes-purpose-with-viktor-frankls-mans-search-for-meaning/,,,,
